"id","Funny","Sex"
1,5,7
2,3,7
3,5,8
4,5,7
5,4,6
6,3,6
7,2,5
8,3,2
9,4,7
10,2,6
11,2,3
12,3,5
13,2,7
14,3,6
15,4,3
16,1,6
17,3,7
18,3,2
19,6,6
20,3,7
21,2,7
22,1,3
23,3,7
24,5,2
25,2,7
26,5,4
27,3,6
28,3,3
29,2,6
30,3,6
31,5,7
32,1,7
33,2,6
34,3,8
35,2,2
36,5,6
37,8,8
38,5,3
39,4,7
40,5,7
41,1,4
42,5,5
43,7,8
44,4,6
45,4,8
46,4,7
47,3,8
48,4,6
49,4,7
50,3,7
51,3,6
52,2,4
53,4,6
54,6,7
55,3,7
56,2,6
57,2,5
58,3,5
59,4,9
60,3,7
61,5,7
62,4,7
63,3,3
64,3,5
65,3,5
66,2,7
67,1,6
68,2,3
69,5,6
70,3,6
71,3,6
72,6,8
73,4,7
74,1,6
75,7,10
76,3,7
77,9,8
78,3,7
79,3,6
80,4,8
81,2,6
82,5,3
83,3,7
84,3,2
85,3,3
86,2,7
87,4,6
88,3,5
89,4,8
90,4,6
91,2,5
92,7,9
93,2,7
94,4,6
95,3,6
96,5,8
97,2,6
98,5,9
99,4,7
100,7,6
101,4,7
102,3,6
103,5,3
104,4,6
105,3,8
106,1,4
107,3,7
108,6,7
109,5,7
110,4,7
111,3,1
112,2,2
113,1,5
114,4,6
115,2,6
116,4,7
117,3,6
118,4,6
119,3,5
120,9,7
121,4,10
122,2,7
123,6,7
124,2,7
125,3,7
126,5,6
127,5,8
128,5,5
129,3,1
130,4,3
131,3,7
132,4,7
133,2,7
134,3,5
135,5,7
136,3,6
137,4,7
138,3,7
139,5,1
140,3,5
141,7,7
142,2,4
143,2,2
144,2,6
145,2,5
146,4,9
147,4,6
148,2,5
149,4,7
150,2,6
151,3,7
152,4,6
153,5,6
154,4,7
155,3,6
156,3,8
157,5,7
158,4,4
159,6,10
160,5,5
161,6,6
162,3,6
163,7,6
164,5,8
165,4,6
166,4,7
167,5,6
168,5,6
169,7,7
170,6,8
171,6,6
172,4,7
173,6,3
174,6,7
175,4,6
176,2,6
177,5,7
178,5,8
179,2,7
180,4,0
181,5,7
182,6,7
183,5,6
184,7,7
185,5,7
186,5,8
187,7,7
188,5,5
189,5,6
190,3,6
191,0,3
192,2,6
193,5,3
194,8,7
195,4,6
196,5,7
197,3,7
198,5,6
199,5,7
200,3,7
201,4,7
202,4,6
203,4,6
204,5,5
205,5,6
206,5,9
207,5,6
208,4,9
209,8,7
210,7,6
211,5,7
212,6,9
213,3,6
214,2,5
215,4,6
216,4,4
217,4,6
218,10,9
219,5,6
220,4,7
221,5,6
222,1,4
223,4,6
224,2,6
225,5,6
