"goal","amount_pledged","backer_count","comment_count","update_coun","has_video","body_length","body_image_count","body_video_count","raw_location","currency","end_date","start_date","status","category","subcategory"
5000,1311,31,1,1,1,5017,4,0,"Akron, OH","USD",2012-07-26,2012-06-28,3,"film & video","Documentary"
500,500,19,0,0,1,1184,0,0,"Plymouth, MA","GBP",2014-02-15,2014-01-16,6,"film & video","Shorts"
1100,2080,41,3,4,1,1296,2,0,"Perth, AU","AUD",2014-11-08,2014-10-09,6,"art","Art"
500,510,22,0,0,1,2256,0,0,"Exeter, UK","GBP",2014-01-13,2013-12-23,6,"publishing","Poetry"
25000,NA,NA,0,0,1,693,0,0,"New York, NY","USD",2016-09-07,2016-08-08,3,"food","Drinks"
300,103,3,0,2,1,1206,2,0,"Everett, WA","USD",2012-07-07,2012-06-07,3,"games","Video Games"
9000,5311,77,3,4,1,1401,9,0,"Sydney, AU","AUD",2014-03-16,2014-01-30,3,"design","Product Design"
2000,2027,69,1,11,1,6600,12,0,"Cornwall and Isles of Scilly, UK","GBP",2015-12-16,2015-11-16,6,"film & video","Narrative Film"
4000,4010,84,2,2,1,1758,0,0,"New York, NY","USD",2014-09-22,2014-09-08,6,"theater","Theater"
120000,1136,15,0,1,1,3033,12,0,"Roanoke, VA","USD",2016-04-24,2016-03-25,3,"film & video","Family"
500,189,9,0,5,0,2875,11,0,"London, UK","GBP",2016-02-29,2016-01-27,3,"design","Product Design"
10000,0,0,0,0,0,850,0,0,"Hanover, Germany","EUR",2015-09-05,2015-07-07,3,"publishing","Academic"
3000,216,16,2,0,0,0,0,0,"Denver, CO","USD",2016-07-28,2016-06-28,3,"games","Video Games"
50,51,1,0,0,0,1301,0,0,"Prague, Czech Republic","EUR",2016-03-07,2016-01-07,6,"film & video","Documentary"
750,500,33,0,4,0,0,4,0,"Moncton, Canada","CAD",2016-06-16,2016-05-16,3,"games","Tabletop Games"
1000,120,2,0,0,1,1006,7,2,"Brooklyn, NY","USD",2013-07-05,2013-06-05,3,"music","Music"
440,440,8,1,2,1,468,1,0,"Amsterdam, NY","USD",2014-05-30,2014-05-01,6,"games","Live Games"
35000,50961,564,75,12,1,4033,10,0,"Brisbane, AU","AUD",2015-01-30,2014-12-01,6,"design","Product Design"
600,81,3,3,5,0,349,1,0,"Detroit, MI","USD",2014-09-10,2014-08-11,1,"games","Tabletop Games"
23000,65,5,0,2,1,9578,3,0,"Washington, DC","USD",2012-12-15,2012-11-15,3,"photography","Photography"
6000,NA,NA,1,2,1,2265,3,0,"Princeton, NJ","USD",2016-09-29,2016-08-25,3,"film & video","Documentary"
1200,0,0,0,0,1,970,0,0,"Columbus, OH","USD",2016-03-25,2016-03-04,3,"games","Video Games"
5000,22,3,1,0,1,1829,1,0,"Encino, Los Angeles, CA","USD",2015-12-04,2015-11-04,3,"theater","Musical"
500,601,23,0,2,1,3093,3,1,"Manhattan, KS","USD",2014-03-13,2014-02-11,6,"film & video","Webseries"
2000,40,4,0,0,1,894,0,1,"Malden, MA","USD",2012-09-19,2012-07-23,3,"film & video","Shorts"
900,9410,346,51,7,1,2725,4,0,"Atlanta, GA","USD",2013-04-30,2013-04-05,6,"technology","DIY Electronics"
80000,2,2,0,0,0,1315,0,0,"Southampton, UK","GBP",2015-03-02,2015-02-03,3,"technology","Apps"
3700,225,6,0,0,1,10331,0,1,"San Francisco, CA","USD",2013-06-20,2013-05-14,1,"publishing","Nonfiction"
11,2,2,0,0,0,191,0,0,"Cleveland, OH","USD",2014-08-10,2014-07-11,3,"food","Food"
16500,2444,71,4,6,1,5564,9,4,"Chicago, IL","USD",2013-04-24,2013-03-20,1,"games","Tabletop Games"
10000,NA,NA,0,0,1,3908,1,0,"Nuremberg, Germany","EUR",2016-08-21,2016-06-22,3,"food","Food"
5800,0,0,0,0,1,1925,0,0,"Mobile, AL","USD",2013-03-22,2013-02-20,3,"publishing","Fiction"
100000,57001,462,34,5,1,1859,38,0,"San Diego, CA","USD",2015-10-09,2015-08-25,1,"technology","Gadgets"
2500,2864,37,0,4,1,3029,3,0,"Lilongwe, Malawi","USD",2014-01-06,2013-12-06,6,"photography","Photography"
1000,1055,16,2,6,1,3634,3,0,"Charlotte, NC","USD",2013-03-17,2013-02-12,6,"fashion","Fashion"
15000,1316,31,7,6,1,4098,27,4,"Summerside, Canada","CAD",2016-06-03,2016-05-02,3,"games","Tabletop Games"
500,NA,NA,0,0,0,178,0,0,"Little Rock, AR","USD",2016-09-26,2016-08-22,3,"music","Electronic Music"
2499,3694,74,0,8,1,2965,2,0,"Columbus, OH","USD",2015-10-09,2015-09-09,6,"publishing","Fiction"
17000,18340,241,41,18,1,3098,19,0,"Chicago, IL","USD",2013-03-15,2013-02-13,6,"comics","Comics"
1200,30,3,0,0,1,1832,2,0,"New York, NY","USD",2015-09-06,2015-08-10,3,"games","Mobile Games"
4000,870,13,4,1,1,1439,18,0,"Toulouse, France","EUR",2016-05-12,2016-04-12,1,"design","Product Design"
15000,77,4,1,0,1,818,6,0,"Melbourne, AU","AUD",2016-02-14,2016-01-15,3,"crafts","Stationery"
5500,11,1,0,0,1,165,0,0,"Atlanta, GA","USD",2016-01-15,2015-11-21,3,"music","R&B"
30000,1640,5,0,0,0,1087,0,0,"Denison, TX","USD",2011-01-07,2010-11-08,3,"film & video","Narrative Film"
20000,650,10,0,0,1,6881,0,1,"Tohoku-machi, Japan","USD",2011-07-25,2011-05-26,3,"film & video","Documentary"
2000,3146,26,1,11,0,1966,1,0,"Tulsa, OK","USD",2012-04-30,2012-04-19,6,"photography","Photography"
10000,180,4,4,3,1,2979,0,0,"Oakland, CA","USD",2011-01-23,2010-10-25,1,"comics","Comics"
35000,0,0,0,0,1,143,0,0,"Lago Vista, TX","USD",2014-11-21,2014-10-12,3,"games","Video Games"
14900,5060,52,0,3,1,1808,2,0,"Delavan, WI","USD",2011-11-05,2011-10-06,3,"publishing","Nonfiction"
500,655,17,0,1,1,606,0,0,"Glasgow, UK","GBP",2013-10-25,2013-10-04,6,"film & video","Shorts"
1500,822,28,5,3,1,6156,12,3,"Austin, TX","USD",2013-07-10,2013-05-31,3,"games","Video Games"
3500,3605,77,16,102,1,3720,0,0,"Seattle, WA","USD",2012-03-19,2012-02-18,6,"film & video","Narrative Film"
20000,NA,NA,0,0,1,1549,4,0,"Eugene, OR","USD",2016-09-20,2016-07-22,3,"design","Design"
500,1100,38,3,6,1,1815,0,0,"Austin, TX","USD",2013-12-12,2013-11-12,6,"music","Music"
1100,1635,74,0,13,1,4452,1,0,"Scotia, NY","USD",2014-10-24,2014-09-24,6,"publishing","Fiction"
5000,0,0,0,1,0,1067,0,0,"New York, NY","USD",2010-06-26,2010-03-28,1,"art","Performance Art"
5000,0,0,0,1,1,817,0,0,"Chicago, IL","USD",2014-08-24,2014-08-04,3,"film & video","Comedy"
35000,0,0,0,0,1,4368,0,0,"Machesney Park, IL","USD",2012-03-26,2012-02-25,3,"fashion","Fashion"
10500,284,7,0,5,1,2762,0,0,"Lausanne, Switzerland","CHF",2016-01-14,2015-12-15,3,"music","Jazz"
5000,8320,47,3,0,1,650,0,0,"Sarasota, FL","USD",2014-12-31,2014-12-02,6,"theater","Spaces"
50,145,5,0,7,0,1219,2,0,"Fresno, CA","USD",2014-12-08,2014-11-07,6,"art","Illustration"
5000,860,10,0,1,1,1510,0,0,"Phoenix, AZ","USD",2015-08-20,2015-07-31,3,"crafts","Quilts"
10000,3444,52,1,3,1,6384,23,1,"Atlanta, GA","USD",2013-01-26,2012-11-27,3,"fashion","Fashion"
