"Person","Gender","TimePoint","Satisfaction"
1,0,"Satisfaction_Base",6
2,1,"Satisfaction_Base",7
3,1,"Satisfaction_Base",4
4,0,"Satisfaction_Base",6
5,0,"Satisfaction_Base",6
6,1,"Satisfaction_Base",5
7,0,"Satisfaction_Base",6
8,0,"Satisfaction_Base",2
9,0,"Satisfaction_Base",10
10,0,"Satisfaction_Base",10
11,0,"Satisfaction_Base",8
12,0,"Satisfaction_Base",6
13,1,"Satisfaction_Base",7
14,0,"Satisfaction_Base",6
15,1,"Satisfaction_Base",9
16,1,"Satisfaction_Base",10
17,1,"Satisfaction_Base",1
18,0,"Satisfaction_Base",5
19,1,"Satisfaction_Base",6
20,0,"Satisfaction_Base",5
21,0,"Satisfaction_Base",3
22,1,"Satisfaction_Base",3
23,0,"Satisfaction_Base",7
24,0,"Satisfaction_Base",3
28,1,"Satisfaction_Base",9
29,1,"Satisfaction_Base",8
30,0,"Satisfaction_Base",8
31,0,"Satisfaction_Base",7
32,0,"Satisfaction_Base",10
33,1,"Satisfaction_Base",7
34,0,"Satisfaction_Base",5
38,0,"Satisfaction_Base",5
39,0,"Satisfaction_Base",7
40,0,"Satisfaction_Base",4
41,1,"Satisfaction_Base",3
44,1,"Satisfaction_Base",4
45,1,"Satisfaction_Base",8
46,0,"Satisfaction_Base",10
47,0,"Satisfaction_Base",10
48,1,"Satisfaction_Base",4
49,0,"Satisfaction_Base",2
50,1,"Satisfaction_Base",10
51,0,"Satisfaction_Base",2
52,1,"Satisfaction_Base",9
53,1,"Satisfaction_Base",9
54,1,"Satisfaction_Base",4
55,0,"Satisfaction_Base",6
56,1,"Satisfaction_Base",9
57,1,"Satisfaction_Base",6
58,0,"Satisfaction_Base",5
59,1,"Satisfaction_Base",8
60,1,"Satisfaction_Base",5
61,0,"Satisfaction_Base",7
62,1,"Satisfaction_Base",8
63,1,"Satisfaction_Base",8
64,0,"Satisfaction_Base",4
65,0,"Satisfaction_Base",10
66,1,"Satisfaction_Base",6
67,0,"Satisfaction_Base",7
68,0,"Satisfaction_Base",3
69,0,"Satisfaction_Base",8
70,1,"Satisfaction_Base",3
71,1,"Satisfaction_Base",8
72,1,"Satisfaction_Base",10
73,0,"Satisfaction_Base",10
74,0,"Satisfaction_Base",5
75,0,"Satisfaction_Base",10
76,0,"Satisfaction_Base",10
77,0,"Satisfaction_Base",5
78,0,"Satisfaction_Base",3
79,1,"Satisfaction_Base",10
80,0,"Satisfaction_Base",5
81,0,"Satisfaction_Base",5
82,0,"Satisfaction_Base",9
83,1,"Satisfaction_Base",5
84,1,"Satisfaction_Base",8
85,1,"Satisfaction_Base",10
86,1,"Satisfaction_Base",7
87,0,"Satisfaction_Base",8
88,0,"Satisfaction_Base",10
89,0,"Satisfaction_Base",7
90,1,"Satisfaction_Base",5
91,1,"Satisfaction_Base",10
92,0,"Satisfaction_Base",7
93,0,"Satisfaction_Base",10
94,1,"Satisfaction_Base",10
95,1,"Satisfaction_Base",7
96,0,"Satisfaction_Base",3
97,1,"Satisfaction_Base",10
98,0,"Satisfaction_Base",6
99,1,"Satisfaction_Base",6
100,1,"Satisfaction_Base",8
101,0,"Satisfaction_Base",6
